experiment_id,architecture,cut_layer,batch_size,epochs,learning_rate,mean_transition_time,std_transition_time,min_transition_time,max_transition_time,total_transitions,unique_labels,label_0_mean,label_0_std,label_0_count,label_1_mean,label_1_std,label_1_count,label_2_mean,label_2_std,label_2_count,label_3_mean,label_3_std,label_3_count,label_4_mean,label_4_std,label_4_count,label_5_mean,label_5_std,label_5_count,label_6_mean,label_6_std,label_6_count,label_7_mean,label_7_std,label_7_count,label_8_mean,label_8_std,label_8_count,label_9_mean,label_9_std,label_9_count
13,784_128_32_10,2,32,3,0.01,0.00013006903415926102,2.3328229161806976e-06,0.0001279831762861,0.0001394757958719,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
14,784_128_32_10,1,32,3,0.01,0.000147042549582735,2.459303071023055e-06,0.0001452492185658,0.0001625623343125,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
15,784_128_32_10,1,32,3,0.001,0.00014294827088893298,1.6663646351552971e-06,0.0001412418436876,0.0001522598614182,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
16,784_128_32_10,2,32,3,0.001,0.00014088657941767801,6.762532158861911e-06,0.0001340863089891,0.0001894460309622,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
17,784_128_32_10,1,32,3,0.001,0.000151704130816291,1.8203104357555555e-06,0.0001497572837759,0.0001604308684666,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
18,784_128_32_10,1,32,5,0.01,0.00018073160694571897,5.627712837284007e-06,0.0001729936175379,0.0002002701682635,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
19,784_128_32_10,2,32,5,0.01,0.000146642322747201,2.578798445604088e-06,0.0001422516154109,0.0001567090551058,100,10,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0,0.0001,0.0,10.0
20,784_128_32_10,1,32,5,0.01,0.000203400716339414,5.5558519320224304e-06,0.0001970653690222,0.0002354766741051,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
21,784_128_32_10,1,32,5,0.001,0.00024807257578288606,4.5199397057234035e-06,0.0002414591548856,0.0002661819306344,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0003,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
22,784_128_32_10,2,32,5,0.001,0.00021741697540060594,2.501838733344563e-06,0.0002144834502517,0.0002278549481928,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
23,784_128_32_10,1,32,5,0.001,0.000236172780663682,6.196757963741307e-06,0.0002279707759717,0.0002665490647358,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
24,784_128_32_10,1,64,3,0.01,0.00022532332719101802,8.461747014343127e-06,0.0002163391868227,0.0002634645326732,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
